Category	Role
Composer	Accordion Arrangement
Composer	Accordion Arranger
Composer	Acoustic Guitar Arrangement
Composer	Alto (Tenor) Horn Arrangement
Composer	Alto Saxophone Arrangement
Composer	Alto Vocals Arrangement
Composer	Arranged By
Composer	Arranged By [Additional]
Composer	Arranged By [Arr.]
Composer	Arranged By [Arrangements]
Composer	Arranged By [Backing Vocals]
Composer	Arranged By [Brass]
Composer	Arranged By [Horns]
Composer	Arranged By [Orchestra]
Composer	Arranged By [Rhythm]
Composer	Arranged By [String Arrangement]
Composer	Arranged By [String Arrangements]
Composer	Arranged By [String]
Composer	Arranged By [Strings]
Composer	Arranged By [Strings & Horns]
Composer	Arranged By [Strings & Horns]
Composer	Arranged By [Strings]
Composer	Arranged By [Vocal Arrangement]
Composer	Arranged By [Vocal Arrangements]
Composer	Arranged By [Vocal]
Composer	Arranged By [Vocals]
Composer	Arranger
Composer	Associate Arranger
Composer	Auteur Compositeur
Composer	Background Vocals Arrangement
Composer	Baglama Arrangement
Composer	Bandoneón Arrangement
Composer	Banjo Arrangement
Composer	Baritone Saxophone Arrangement
Composer	Bass Arrangement
Composer	Bass Drum Arrangement
Composer	Bass Flute Arrangement
Composer	Bass Guitar Arrangement
Composer	Bass Saxophone Arrangement
Composer	Bass Synthesizer Arrangement
Composer	Bass Viol Arrangement
Composer	Bassoon Arrangement
Composer	Bayan Arrangement
Composer	Bell Arrangement
Composer	Bell Arrangements
Composer	Bouzouki Arrangement
Composer	Bowed String Instrument Arrangement
Composer	Brass Arrangement
Composer	Castanets Arrangement
Composer	Celesta Arrangement
Composer	Cello Arrangement
Composer	Celtic Harp Arrangement
Composer	Chamberlin Arrangement
Composer	Choir Arrangement
Composer	Clarinet Arrangement
Composer	Clavichord Arrangement
Composer	Co-Arranger
Composer	Composed By
Composer	Composed By [Uncredited]
Composer	Composer
Composer	Composer/Lyricist
Composer	Composer/Lyricist
Composer	Concertina Arrangement
Composer	Congas Arrangement
Composer	Cor Anglais Arrangement
Composer	Cornet Arrangement
Composer	Countertenor Arrangement
Composer	Crumar Orchestration
Composer	Crumar Orchestrator
Composer	Crumhorn Arrangement
Composer	Cymbals Arrangement
Composer	Dialogue Arrangement
Composer	Double Bass Arrangement
Composer	Double Reed Arrangement
Composer	Drum Arrangement
Composer	Drum Arrangements
Composer	Drum Machine Arrangement
Composer	Dulcimer Arrangement
Composer	E-bow Arrangement
Composer	Effects Arrangement
Composer	Electric Bass Guitar Arrangement
Composer	Electric Guitar Arrangement
Composer	Electric Piano Arrangement
Composer	Electric Upright Bass Arrangement
Composer	Electric Viola Arrangement
Composer	Electric Violin Arrangement
Composer	Electronic Arrangement
Composer	Electronic Drums Arrangement
Composer	Electronic Instruments Arrangement
Composer	Electronic Orchestration
Composer	Electronic Organ Arrangement
Composer	Ensemble Arrangement
Composer	Ensemble Arranger
Composer	Erhu Arrangement
Composer	Euphonium Arrangement
Composer	Fiddle Arrangement
Composer	Fife Arrangement
Composer	Flugelhorn Arrangement
Composer	Flute Arrangement
Composer	Fortepiano Arrangement
Composer	French Horn Arrangement
Composer	Gamelan Arrangement
Composer	Glass Harmonica Arrangement
Composer	Glockenspiel Arrangement
Composer	Grand Piano Arrangement
Composer	Guitar Arrangement
Composer	Guitar Arrangements
Composer	Guitaret Arrangement
Composer	Guqin Arrangement
Composer	Guzheng Arrangement
Composer	Hammond Organ Arrangement
Composer	Handbell Arrangement
Composer	Handbells Arrangement
Composer	Harmonic Arrangement
Composer	Harmonica Arrangement
Composer	Harmonica Arrangements
Composer	Harmonium Arrangement
Composer	Harp Arrangement
Composer	Harpsichord Arrangement
Composer	Horn Arrangement
Composer	Horn Arrangements
Composer	Hurdy-gurdy Arrangement
Composer	Instrument Arrangement
Composer	Kantele Arrangement
Composer	Keyboard Arrangement
Composer	Keyboard Arrangements
Composer	Koto Arrangement
Composer	Lap Steel Guitar Arrangement
Composer	Lead Vocals Arrangement
Composer	Librettist
Composer	Libretto By
Composer	Lute Arrangement
Composer	Lyre Arrangement
Composer	Lyricist
Composer	Lyrics By
Composer	Lyrics By [Additional]
Composer	Lyrics By [Czech]
Composer	Lyrics By [English]
Composer	Lyrics By [Finnish]
Composer	Lyrics By [Swedish]
Composer	Lyrics By [Text]
Composer	Lyrics By [Uncredited]
Composer	Lyrics By [Words]
Composer	Mambo Arrangement
Composer	Mandolin Arrangement
